name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"MGGQ+F5Q Jama Masjid, Jama Masjid Rd, Mahalaxmiwada, Adilabad, Telangana 504001",Mahalaxmiwada,"MGGQ+F5Q, Jama Masjid Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd25c75f87e8a01:0x25a95ee1fbab37d0!8m2!3d19.6762137!4d78.5379985!16s%2Fg%2F1tlqnfwv!19sChIJAYp--HVc0jsR0Der--FeqSU?authuser=0&hl=en&rclk=1,"19.676213699999998,78.5379985"
Gulzaar Masjid,Mosque,"MGCR+66Q Gulzaar Masjid, Bokkalguda St, Brahmanwadi, Adilabad, Telangana 504001",Brahmanwadi,"MGCR+66Q, Bokkalguda St",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Gulzaar+Masjid/data=!4m7!3m6!1s0x3bd25c7477d00337:0x3dc61fe7489f62b1!8m2!3d19.6704596!4d78.5395986!16s%2Fg%2F1tcz6sjz!19sChIJNwPQd3Rc0jsRsWKfSOcfxj0?authuser=0&hl=en&rclk=1,"19.670459599999997,78.53959859999999"
Masjid-e-Rahmania,Mosque,"MG5H+P96 Masjid-e-Rahmania, Dasnapur, Sapthagiri Colony, chaitanyapuri, Adilabad, Telangana 504001","Dasnapur, Sapthagiri Colony, chaitanyapuri",MG5H+P96,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Rahmania/data=!4m7!3m6!1s0x3bd25c643f4fdb2f:0xa503fe99bb42906e!8m2!3d19.6592958!4d78.5283772!16s%2Fg%2F1w2ysb6c!19sChIJL9tPP2Rc0jsRbpBCu5n-A6U?authuser=0&hl=en&rclk=1,"19.6592958,78.5283772"
Masjid-e-Firdous,Mosque,"MG6G+978 Masjid-e-Firdous, Rickshaw Colony, Adilabad, Telangana 504001",Rickshaw Colony,MG6G+978,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Firdous/data=!4m7!3m6!1s0x3bd25c6379b59d8d:0x6f222369871ef4cd!8m2!3d19.6609205!4d78.525713!16s%2Fg%2F11b6tqg984!19sChIJjZ21eWNc0jsRzfQeh2kjIm8?authuser=0&hl=en&rclk=1,"19.6609205,78.525713"
Masjid-E-Taneem,Mosque,"MG8P+GJ2 Masjid-E-Taneem, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8P+GJ2,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Taneem/data=!4m7!3m6!1s0x3bd25c7196951817:0xe1695f659d337d7!8m2!3d19.6662707!4d78.5365283!16s%2Fg%2F11c52zx1f3!19sChIJFxiVlnFc0jsR1zfTWfaVFg4?authuser=0&hl=en&rclk=1,"19.6662707,78.5365283"
Masjid e Noor Khursheed Nagar,Mosque,"Masjid e Noor Khursheed Nagar, khursheed Nagar, Adilabad, Telangana 504001",khursheed Nagar,,Adilabad,,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Noor+Khursheed+Nagar/data=!4m7!3m6!1s0x3bd25b7f77891187:0xd64d9d2522c68201!8m2!3d19.6780656!4d78.5199255!16s%2Fg%2F1pp2x6dd1!19sChIJhxGJd39b0jsRAYLGIiWdTdY?authuser=0&hl=en&rclk=1,"19.6780656,78.5199255"
Mohammadia Masjid,Mosque,"MGFH+M8P Mohammadia Masjid, NH 44, Vidya Nagar, Adilabad, Telangana 504001",Vidya Nagar,"MGFH+M8P, NH 44",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Mohammadia+Masjid/data=!4m7!3m6!1s0x3bd25c7892a2eb3b:0x89c3b0daf8ff360!8m2!3d19.6742243!4d78.5283275!16s%2Fg%2F1tjz1t_5!19sChIJO-uiknhc0jsRYPOPrw07nAg?authuser=0&hl=en&rclk=1,"19.6742243,78.5283275"
Masjid_E_Quba,Mosque,"Masjid_E_Quba, 2-5-216, beside Masjid E Quba Khila, Mohalla Badh, Adilabad, Telangana 504001",Mohalla Badh,"2-5-216, beside Masjid E Quba Khila",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid_E_Quba/data=!4m7!3m6!1s0x3bd25bedeaaaaaab:0xe29f9a411d92289b!8m2!3d19.6793188!4d78.5406475!16s%2Fg%2F11bwkvtnj8!19sChIJq6qq6u1b0jsRmyiSHUGan-I?authuser=0&hl=en&rclk=1,"19.6793188,78.54064749999999"
Masjid-e-Meraj,Mosque,"Masjid-e-Meraj, Police lane, Sanjay Nagar, Adilabad, Bhattisavargaon, Telangana 504001",Sanjay Nagar,Police lane,"Adilabad, Bhattisavargaon",504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Meraj/data=!4m7!3m6!1s0x3bd25c80a40634d7:0x99b706696d47a613!8m2!3d19.6674917!4d78.5163997!16s%2Fg%2F1tr7b846!19sChIJ1zQGpIBc0jsRE6ZHbWkGt5k?authuser=0&hl=en&rclk=1,"19.6674917,78.5163997"
Masjid E Abubaker,Mosque,"MG8V+54F Masjid E Abubaker, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8V+54F,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Abubaker/data=!4m7!3m6!1s0x3bd25c72afd994d1:0x55e84f035f33b282!8m2!3d19.6654385!4d78.542794!16s%2Fg%2F11c1wsmygw!19sChIJ0ZTZr3Jc0jsRgrIzXwNP6FU?authuser=0&hl=en&rclk=1,"19.6654385,78.542794"
Masjid E Arafath,Mosque,"MG9W+PJJ Masjid E Arafath, arfath nagar, Adilabad, Telangana 504001",arfath nagar,MG9W+PJJ,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Arafath/data=!4m7!3m6!1s0x3bd25c0c5e111929:0x778ec5e1e693b913!8m2!3d19.6693375!4d78.5465156!16s%2Fg%2F11dxl2lpw0!19sChIJKRkRXgxc0jsRE7mT5uHFjnc?authuser=0&hl=en&rclk=1,"19.669337499999997,78.54651559999999"
Madina Masjid mdynh msjd,Mosque,"MGCJ+GX8 Madina Masjid mdynh msjd, Netaji Chowk Rd, Ponnar, Bhuktapur, Telangana 504001",Ponnar,"MGCJ+GX8, Netaji Chowk Rd",Bhuktapur,504001,Telangana,IN,https://www.google.com/maps/place/Madina+Masjid+%D9%85%D8%AF%DB%8C%D9%86%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bd25c7742dd0b05:0xf2fb259a889bfa78!8m2!3d19.6712846!4d78.5324561!16s%2Fg%2F11fzzxxq7l!19sChIJBQvdQndc0jsRePqbiJol-_I?authuser=0&hl=en&rclk=1,"19.6712846,78.53245609999999"
Muhammadiya Masjid,Mosque,"MG29+X76 Muhammadiya Masjid, Ramnagar Colony, Adilabad, Telangana 504001",Ramnagar Colony,MG29+X76,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Muhammadiya+Masjid/data=!4m7!3m6!1s0x3bd25c8ad95e1f51:0xc9001b8ca6d7fd64!8m2!3d19.6524043!4d78.5181462!16s%2Fg%2F11cn7qqr7d!19sChIJUR9e2Ypc0jsRZP3XpowbAMk?authuser=0&hl=en&rclk=1,"19.6524043,78.51814619999999"
Masjid E Tawheed Ahle Hadees,Mosque,"MG9R+3FF Masjid E Tawheed Ahle Hadees, Bokkalguda St, Opp. Sanober Urdu School, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,"MG9R+3FF, Bokkalguda St, Opp. Sanober Urdu School",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Tawheed+Ahle+Hadees/data=!4m7!3m6!1s0x3bd25c72fd255f2d:0x9b9a25549484aac6!8m2!3d19.6676945!4d78.5411635!16s%2Fg%2F11b6wlm0t4!19sChIJLV8l_XJc0jsRxqqElFQlmps?authuser=0&hl=en&rclk=1,"19.6676945,78.5411635"
Abubakr masjid,Mosque,"MG8R+J7F Abubakr masjid, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8R+J7F,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Abubakr+masjid/data=!4m7!3m6!1s0x3bd25c72f6f46bc9:0xcd16458f413f5d2e!8m2!3d19.6665675!4d78.5406681!16s%2Fg%2F11c607nzf4!19sChIJyWv09nJc0jsRLl0_QY9FFs0?authuser=0&hl=en&rclk=1,"19.6665675,78.54066809999999"
Fathima Masjid,Mosque,"MGFF+676 Fathima Masjid, Sanjay Nagar, Adilabad, Telangana 504001",Sanjay Nagar,MGFF+676,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Fathima+Masjid/data=!4m7!3m6!1s0x3bd25c7fa619132f:0x3fc5279c8cd8c162!8m2!3d19.6730467!4d78.5231404!16s%2Fg%2F11g65c9p2q!19sChIJLxMZpn9c0jsRYsHYjJwnxT8?authuser=0&hl=en&rclk=1,"19.6730467,78.5231404"
MASJID-E-Bilal,Mosque,"MGHQ+H25 MASJID-E-Bilal, Adilabad - Nagpur Rd, Panjesha, Adilabad, Telangana 504001",Panjesha,"MGHQ+H25, Adilabad - Nagpur Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/MASJID-E-Bilal/data=!4m7!3m6!1s0x3bd25b89846e6659:0x31ee36077b20474f!8m2!3d19.6788851!4d78.5375982!16s%2Fg%2F11gclzc6pn!19sChIJWWZuhIlb0jsRT0cgewc27jE?authuser=0&hl=en&rclk=1,"19.6788851,78.53759819999999"
Masjid E Hassan,Mosque,"MG8V+QPM Masjid E Hassan, Unnamed Road, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,"MG8V+QPM, Unnamed Road",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Hassan/data=!4m7!3m6!1s0x3bd25c0d29000079:0xa0cc092090b96993!8m2!3d19.6669651!4d78.5443022!16s%2Fg%2F11dfk_8lt4!19sChIJeQAAKQ1c0jsRk2m5kCAJzKA?authuser=0&hl=en&rclk=1,"19.6669651,78.54430219999999"
Masjid-e-Garib Nawaz,Mosque,"MGPP+943 Masjid-e-Garib Nawaz, raza chowk, Jai Jawan Nagar, Tatiguda Colony, Adilabad, Telangana 504001","Kranti Nagar, Tatiguda Colony","MGPP+943, raza chowk, Jai Jawan Nagar",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Garib+Nawaz/data=!4m7!3m6!1s0x3bd25b8e4eca922b:0x9859180dd7cc6aa7!8m2!3d19.6858886!4d78.5352986!16s%2Fg%2F11g889_zry!19sChIJK5LKTo5b0jsRp2rM1w0YWZg?authuser=0&hl=en&rclk=1,"19.6858886,78.53529859999999"
MASJID E MAHEBOOB E SUBHANI ( Markaz e Ahle Sunnat ),Mosque,"MASJID E MAHEBOOB E SUBHANI ( Markaz e Ahle Sunnat ), Sanjay Nagar, Adilabad, Telangana 504001",Sanjay Nagar,,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/MASJID+E+MAHEBOOB+E+SUBHANI+%28+Markaz+e+Ahle+Sunnat+%29/data=!4m7!3m6!1s0x3bd25c7cd0000001:0xe56e990e56fe962c!8m2!3d19.6669356!4d78.5213162!16s%2Fg%2F11c2kk77hk!19sChIJAQAA0Hxc0jsRLJb-Vg6ZbuU?authuser=0&hl=en&rclk=1,"19.6669356,78.5213162"
Masjid,Mosque,"HFPR+4Q8 Masjid, Adilabad, Telangana 504308",,HFPR+4Q8,Adilabad,504308,Telangana,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3bd25d5bfe1eb429:0x753a217332ff9baa!8m2!3d19.5852914!4d78.4919588!16s%2Fg%2F11dxq2d28t!19sChIJKbQe_ltd0jsRqpv_MnMhOnU?authuser=0&hl=en&rclk=1,"19.5852914,78.49195879999999"
Masjid e Ishaat-e-Islam,Mosque,"MH33+H28 Masjid e Ishaat-e-Islam, Adilabad, Telangana 504001",,MH33+H28,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Ishaat-e-Islam/data=!4m7!3m6!1s0x3bd25c17d761b9e3:0x9051e74decccc3da!8m2!3d19.653917!4d78.552592!16s%2Fg%2F11g9vtzndj!19sChIJ47lh1xdc0jsR2sPM7E3nUZA?authuser=0&hl=en&rclk=1,"19.653917,78.55259199999999"
Masjid Badar,Mosque,"MG8C+44M Masjid Badar, Rickshaw Colony, Adilabad, Telangana 504001",Rickshaw Colony,MG8C+44M,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+Badar/data=!4m7!3m6!1s0x3bd25c878e7870c1:0x8e24c92e23dce198!8m2!3d19.6653455!4d78.5202985!16s%2Fg%2F11bbrlytdq!19sChIJwXB4jodc0jsRmOHcIy7JJI4?authuser=0&hl=en&rclk=1,"19.6653455,78.5202985"
